run,original_duration_seconds,adjusted_duration_seconds,mem_used,cpu_percent
1,175.13119292259216,175.13119292259216,350Mi/3.8Gi,0.14000000000000057
2,173.31883001327515,173.31883001327515,354Mi/3.8Gi,0.1599999999999966
3,162.0270836353302,162.0270836353302,333Mi/3.8Gi,0.1700000000000017
